timestamp_us,audio_adc
75416812,7038
75417912,10522
75419012,7006
75420112,4989
75421612,3495
75422712,7824
75423812,6445
75424912,11494
75449110,6414
75450610,1911
75452112,996
75453312,3335
75543112,12162
75544612,1251
75546112,9016
75547312,8049
75548412,4002
75549512,10700
75624011,10233
75625611,11567
75627211,10630
75628411,8377
75629511,7786
75631011,10
75632111,6841
75633211,6685
75634311,2120
75635411,10151
75636911,4167
75638011,9479
75639111,3308
75640211,11602
75641811,8028
75642911,9311
75644011,7803
75645111,3849
75646611,11550
75647711,12191
75648811,4546
75649911,1858
75651411,9324
75652511,5091
75653611,9754
75654711,6734
75656211,2137
75657311,12173
75658411,0
75659511,10599
75661011,3323
75662111,12165
75663211,3138
75664311,12215
75665411,56
75666911,12222
75668011,5599
75669111,3276
75670211,18
75671711,25
75672811,10119
75673911,52
75675011,12203
75676511,42
75677611,12208
75678711,9
75679811,12208
75681411,12188
75682511,36
75683611,12199
75684711,7
75686211,0
75687311,12164
75688411,7280
75689511,12164
75691011,12171
75692111,0
75693211,6250
75782412,31
75784012,7254
75785112,1
75786612,12165
75787712,1366
75788812,7010
75789912,12190
75791512,10991
75792612,12179
75793712,8
75794812,12218
75796312,41
75797412,12201
75798512,3
75799612,12208
75898212,7861
75899812,5327
75901412,8443
75902512,15
75903612,35
75904712,12185
75906212,8394
75907312,4710
75908412,12226
75909512,2884
75911012,7551
75912112,12232
75913212,43
75914312,12185
75915412,12193
75916912,25
75918012,554
75919112,12
75920212,12212
75921712,12212
75922812,12179
75923912,10186
75925012,30
75934910,12190
75936410,5
75937510,12168
75938610,11578
75939710,12173
75941212,9833
75942312,46
75943412,12159
75944512,12214
75946012,4395
75947112,9031
75948212,6
75949312,12225
75950412,12221
75951912,1723
75953012,8369
75954112,3
75955212,12194
75956712,11468
75957812,6444
75958912,12203
75960012,565
75961512,12178
75962612,8455
75963712,6097
75964812,11804
76054016,26
76055768,12223
76057311,6
76058511,13
76059611,55
76061111,41
76062211,6245
76063311,12179
76064411,12180
76066011,12194
76067111,12199
76068211,11663
76069311,21
76070411,12167
76071911,40
76073011,12209
76074111,10361
76075211,22
76149910,3377
76151410,734
76152510,4637
76153610,2263
76154710,5885
76156212,9250
76157312,7046
76158412,7084
76159512,10266
76161012,9569
76162112,576
76163212,7927
76164312,11950
76165412,12162
76166912,12222
76168012,25
76169112,8007
76170212,7982
76171812,3610
76172912,6407
76174012,33
76175112,3042
76176612,7740
76177712,6700
76178812,9447
76179912,5606
76181412,3533
76182512,7161
76183612,12062
76184712,8347
76186212,5774
76187312,12209
76188412,10146
76189512,5804
76191012,41
76192112,4166
76193212,3346
76194312,1866
76195412,6451
76196912,8030
76198012,2494
76199112,6837
76200212,12173
76201712,2375
76202812,9087
76203912,3880
76293112,12199
76294712,12201
76296312,12181
76297512,41
76298612,12210
76299712,4
76301212,32
76302312,12217
76303412,6488
76304512,7614
76306012,12217
76307112,12202
76308212,12185
76309312,11585
76310412,12196
76311912,12184
76313012,11368
76314112,0
76315212,12216
76316712,4377
76317812,1191
76318912,12192
76320012,52
76321612,12220
76322712,12176
76323812,4502
76324912,7354
76326412,6534
76327512,10581
76328612,12184
76329712,609
76404011,21
76405511,4796
76407011,10924
76408311,12192
76409411,8857
76410911,277
76412011,12174
76413111,7004
76414211,7135
76415311,6298
76416811,5541
76417911,11580
76419011,1571
76420111,12163
